Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
Pick up the orange block that is off by itself.,Configuration_10_v1.png,robot,4,0:00:15.746498,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the green block that is in the middle of the three green blocks that are very close together.,Configuration_8_v1.png,robot,3,0:00:28.509061,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the green block that is by the 2 blue blocks.,Configuration_3_v2.png,robot,4,0:00:16.142099,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the orange block that is on the outside of the 2 orange blocks that are together.,Configuration_5_v1.png,robot,3,0:00:22.115111,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the yellow block that is in the middle by the green block.,Configuration_13_v2.png,robot,3,0:00:19.392608,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the blue block that is in the middle of the table.,Configuration_14_v2.png,robot,4,0:00:12.601718,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the yellow block.,Configuration_1_v1.png,robot,5,0:00:08.080594,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the blue block that is together with the other blue block and is towards the inside.,Configuration_2_v2.png,robot,2,0:00:24.958396,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the blue block by the green block.,Configuration_7_v1.png,robot,4,0:00:11.102275,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the green block that is closest to you.,Configuration_9_v2.png,robot,4,0:00:13.898668,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the yellow block that is right next to the blue block that is on the outside.,Configuration_4_v1.png,robot,2,0:00:28.413605,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the blue block that is next to the other blue block and by the orange block.,Configuration_12_v1.png,robot,3,0:00:20.135843,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the blue block that is closest to you.,Configuration_11_v2.png,robot,4,0:00:19.647416,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick up the green block that is in the middle by the 2 orange blocks.,Configuration_6_v2.png,robot,4,0:00:18.889831,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Try to touch the cube that positioned most to your right. Then touch the cube located to the southeast of that block. Finally you should pick up the block that's closest to the previous block.,Configuration_8_v1.png,human,2,0:02:54.014828,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
"Touch the block that's located on the furthest north from you, and then pick up the closest blue blue block",Configuration_12_v1.png,human,4,0:03:56.908699,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Locate the blue block on your right side and then pick up the yellow block located to the northwest of that block.,Configuration_4_v1.png,human,4,0:01:11.826605,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Pick up the green block located on the northwest corner of the table.,Configuration_9_v1.png,human,5,0:01:02.743256,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Pick up the block located at the southeast of the second green block from the top.,Configuration_13_v2.png,human,2,0:01:15.579323,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Locate and pick up the orange block located of the northwest corner of the table,Configuration_10_v1.png,human,4,0:00:37.658661,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Locate and pick up the green block located on the top part of the table,Configuration_3_v2.png,human,5,0:00:54.067421,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
Locate and pick up the blue block standing closest to you,Configuration_11_v2.png,human,5,0:00:48.991104,Tried to find something that would differ the specific cube from others,Moderately challenging at the beginning but it get's easier with practice.,,28,female,Engineer,15-20,Right,1,3,1,5,3,"Yes, I had to build one in one of my classes ",915
