Action,Object,Color,Pattern/Shape,Density,Orientation,Ordering/Quantity,EnvLandmark,Position,PerspectiveIndicator
move,block,green,horizontal,edge,turned,1,me,immediate,my
moving,hand,greens,row,end,,1st,you,immediately,you
walk,cube,yellow,aligned,outside,,2,robot,flush,your
follow,cubes,blue,column,last,,2nd,him,located,yourself
walk,chest,orange,line,out,,3,them,near,
touch,screen,brown,lined,side,,3rd,table,nearer,
look,box,purple,string,sides,,4,desk,nearest,
looking,boxes,tan,stack,group,,4th,,flanked,
choose,arm,,stacked,grouped,,5,,diagonal,
grab,image,,diamond,grouping,,5th,,closer,
come,shadow,,rectangle,inbetween,,count,,closest,
coming,it,,crude,between,,counting,,close,
confirm,its,,triangle,sandwiched,,first,,closely,
notice,itself,,corner,isolated,,one,,center,
disregard,they,,square,collection,,two,,beside,
do,,,arranged,alone,,secondmost,,opposite,
drag,,,arrangement,apart,,second,,touches,
now,,,form,away,,double,,touching,
pickup,,,formation,bunch,,third,,touched,
pick,,,shape,bunched,,four,,middle,
scoop,,,,cluster,,fourth,,centered,
search,,,,clustered,,fifth,,central,
slide,,,,cluttered,,five,,adjacent,
see,,,,area,,order,,against,
select,,,,completely,,yet,,almost,
find,,,,pair,,six,,around,
head,,,,single,,number,,by,
ignore,,,,surround,,majority,,neighbors,
raise,,,,surrounded,,many,,direct,
reach,,,,surrounding,,most,,direction,
pull,,,,separate,,ones,,directly,
use,,,,separated,,three,,distance,
feel,,,,tight,,total,,falls,
examined,,,,lone,,more,,situated,
focusing,,,,solitary,,several,,facing,
narrow,,,,singular,,starting,,face,
get,,,,few,,,,proximity,
go,,,,pack,,,,pushed,
lean,,,,standing,,,,exact,
stand,,,,stands,,,,far,
please,,,,together,,,,lays,
hold,,,,space,,,,next,
need,,,,spaced,,,,sitting,
take,,,,pile,,,,sits,
skip,,,,set,,,,position,
start,,,,sets,,,,positioned,
tell,,,,only,,,,just,
place,,,,remaining,,,,nearly,
put,,,,rest,,,,slight,
want,,,,section,,,,slightly,
,,,,specific,,,,straight,
,,,,spread,,,,above,
,,,,,,,,across,
,,,,,,,,highest,
,,,,,,,,left,
,,,,,,,,leftmost,
,,,,,,,,lower,
,,,,,,,,lowest,
,,,,,,,,northwest,
,,,,,,,,northeast,
,,,,,,,,north,
,,,,,,,,furthest,
,,,,,,,,furthermost,
,,,,,,,,front,
,,,,,,,,further,
,,,,,,,,rightmost,
,,,,,,,,right,
,,,,,,,,forward,
,,,,,,,,farther,
,,,,,,,,farthest,
,,,,,,,,down,
,,,,,,,,bottom,
,,,,,,,,bottommost,
,,,,,,,,below,
,,,,,,,,behind,
,,,,,,,,upper,
,,,,,,,,uppermost,
,,,,,,,,upward,
,,,,,,,,top,
,,,,,,,,topmost,
,,,,,,,,after,
,,,,,,,,ahead,
,,,,,,,,angle,
,,,,,,,,back,
,,,,,,,,before,
,,,,,,,,beyond,
,,,,,,,,under,
,,,,,,,,underneath,
,,,,,,,,south,
,,,,,,,,reaches,
,,,,,,,,towards,
,,,,,,,,toward,
,,,,,,,,exactly,
,,,,,,,,followed,
,,,,,,,,going,
,,,,,,,,past,
