Description,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging?,General Comments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
"Its near the back, just under two blue blocks.",Configuration_3_v2.png,robot,2,0:00:42.761747,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
Green block in the middle surround by a bunch of other green blocks,Configuration_6_v1.png,robot,3,0:00:26.914852,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
blue block just right in front of you,Configuration_11_v2.png,robot,4,0:00:12.595249,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
orange block way in the back all by itself,Configuration_10_v1.png,robot,4,0:00:15.049242,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
yellow block right in the middle surrounded by many blocks.,Configuration_13_v2.png,robot,1,0:00:23.807312,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
yellow block surrounded by more yellow blocks,Configuration_4_v1.png,robot,4,0:00:19.180719,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
green block closest to you,Configuration_9_v2.png,robot,5,0:00:13.535272,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
blue block in the back of all the other blocks,Configuration_12_v1.png,robot,4,0:00:18.361619,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
yellow block in the back surrounded by orange blocks,Configuration_5_v2.png,robot,4,0:00:16.048802,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
blue block in front of you next to a yellow block,Configuration_14_v1.png,robot,3,0:00:20.788831,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
blue block touching a blue and orange block,Configuration_2_v2.png,robot,4,0:00:42.472637,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
blue block in front of green block,Configuration_7_v1.png,robot,3,0:00:24.770098,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
green block at by itself and right in front of you,Configuration_1_v2.png,robot,5,0:00:16.308011,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
green block in the middle of all the other blocks and surrounded by more green blocks,Configuration_8_v1.png,robot,4,0:00:25.990693,no strategy,explaining it right was the most challenging and whether it would understand it or not,great and interesting hit,24,male,mturk,>20,Right,1,2,2,5,4,no such experience ,216
Pick up the green block that is furthest away from you.,Configuration_3_v2.png,human,5,0:00:20.822123,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
"Pick up the orange block that is furthest away from you, closest to me.",Configuration_5_v1.png,human,4,0:00:53.766963,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
"Pick up the green block that is in the middle, next to the orange blocks",Configuration_6_v2.png,human,5,0:00:26.418757,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
"Pick up that orange block, all the way by itself.",Configuration_10_v1.png,human,5,0:00:22.439710,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the green block that is closest to you,Configuration_9_v2.png,human,5,0:00:13.608960,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
"Pick up the yellow block in between those 2 green blocks, and that blue block.",Configuration_11_v1.png,human,2,0:01:34.500925,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the blue block that is sandwiched between another blue block and that green one that is closest to you.,Configuration_14_v2.png,human,2,0:00:45.567656,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the blue block on the left side.,Configuration_7_v1.png,human,5,0:00:28.001672,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the yellow block in the middle of that cluster to your right.,Configuration_4_v2.png,human,1,0:00:29.356599,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the blue block that is right above that orange block furthest away from you.,Configuration_12_v1.png,human,2,0:00:52.252804,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the blue block at the top of that cluster to the left of you.,Configuration_2_v2.png,human,1,0:00:23.806386,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the left green block out of that touching pair.,Configuration_8_v1.png,human,,0:00:39.293916,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the green block that is by itself.,Configuration_1_v2.png,human,5,0:00:17.576966,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the orange block one that is nearest you.,Configuration_13_v1.png,human,4,0:00:22.357742,I think I used the blocks that were nearby as directional cues. ,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
Pick up the green block that is below two orange blocks in a line.,Configuration_6_v2.png,human,5,0:00:16.712343,No,It was challenging if it was a block surrounded by many other blocks.,,28,female,self-employed,>20,Right,1,1,1,7,5,,215
