Configuration	Action	Object	Color	Pattern/Shape	Density	Orientation	Ordering/Quantity	EnvLandmark	Position	PerspectiveIndicator
1_v1	1	1	1	0	1	0	1	1	1	1
1_v2	1	1	1	0	1	0	1	1	1	1
2_v1	1	1	1	1	1	0	1	1	1	1
2_v2	1	1	1	1	1	1	1	1	1	1
3_v1	1	1	1	0	1	0	1	1	1	1
3_v2	1	1	1	1	1	0	1	1	1	1
4_v1	1	1	1	1	1	0	1	1	1	1
4_v2	1	1	1	1	1	0	1	1	1	1
5_v1	1	1	1	1	1	0	1	1	1	1
5_v2	1	1	1	1	1	0	1	1	1	1
6_v1	1	1	1	1	1	0	1	1	1	1
6_v2	1	1	1	1	1	0	1	1	1	1
7_v1	1	1	1	1	1	0	1	1	1	1
7_v2	1	1	1	0	1	0	1	1	1	1
8_v1	1	1	1	1	1	0	1	1	1	1
8_v2	1	1	1	1	1	0	1	1	1	1
9_v1	1	1	1	1	1	0	1	1	1	1
9_v2	1	1	1	0	1	0	1	1	1	1
10_v1	1	1	1	1	1	0	1	1	1	1
10_v2	1	1	1	0	1	0	1	1	1	1
11_v1	1	1	1	1	1	0	1	1	1	1
11_v2	1	1	1	1	1	0	1	1	1	1
12_v1	1	1	1	1	1	0	1	1	1	1
12_v2	1	1	1	1	1	0	1	1	1	1
13_v1	1	1	1	0	1	0	1	1	1	1
13_v2	1	1	1	1	1	0	1	1	1	1
14_v1	1	1	1	1	1	0	1	1	1	1
14_v2	1	1	1	1	1	0	1	1	1	1
