Configuration	Action	Object	Color	Pattern/Shape	Density	Orientation	Ordering/Quantity	EnvLandmark	Position	PerspectiveIndicator
1_v1	47	49	45	0	17	0	3	13	3	6
1_v2	48	50	48	0	7	0	6	43	45	40
2_v1	48	47	46	1	19	0	36	14	30	32
2_v2	47	47	45	3	17	1	31	19	23	29
3_v1	49	49	46	0	3	0	4	44	45	42
3_v2	46	50	45	2	16	0	14	24	13	26
4_v1	47	47	46	4	24	0	24	16	34	30
4_v2	48	48	45	4	21	0	40	22	34	33
5_v1	46	49	43	1	21	0	9	33	29	25
5_v2	48	49	48	2	15	0	4	37	20	25
6_v1	47	46	49	3	33	0	41	19	39	29
6_v2	48	50	45	2	9	0	33	13	34	13
7_v1	48	49	47	1	8	0	9	10	18	30
7_v2	47	47	47	0	13	0	15	17	27	30
8_v1	47	40	48	18	26	0	40	14	44	14
8_v2	49	47	44	1	15	0	19	22	44	14
9_v1	49	49	49	1	24	0	7	35	18	29
9_v2	46	50	47	0	3	0	6	42	44	41
10_v1	46	49	46	7	21	0	5	22	17	20
10_v2	50	50	47	0	14	0	5	37	41	38
11_v1	48	49	48	1	30	0	34	12	23	18
11_v2	47	48	44	2	16	0	9	25	25	38
12_v1	45	44	45	1	16	0	23	32	29	25
12_v2	49	48	48	1	20	0	6	43	23	35
13_v1	49	46	47	0	11	0	27	33	38	33
13_v2	46	49	46	2	13	0	22	17	43	21
14_v1	45	50	48	1	11	0	7	10	19	23
14_v2	49	48	49	2	13	0	19	38	40	39
