Index	Ordering/Quantity	Position
2	0	2
3	0	3
4	0	2
5	1	3
6	1	1
7	0	1
8	0	1
9	0	2
10	0	2
11	0	1
12	0	1
13	0	3
14	1	2
16	0	2
17	0	2
18	0	1
19	0	1
20	1	0
21	1	1
22	0	1
23	0	2
24	0	3
25	0	2
26	0	2
27	0	1
28	1	1
29	1	1
30	2	5
31	0	2
32	0	0
33	0	2
34	0	3
35	0	3
36	0	2
38	3	4
40	0	3
41	3	6
42	2	0
45	1	4
46	0	3
47	0	1
49	0	2
50	1	3
51	2	3
52	0	5
53	0	3
54	0	4
55	1	3
56	1	4
57	0	4
60	0	4
61	0	2
62	0	6
63	0	5
64	0	6
65	0	4
66	1	6
67	0	7
68	0	9
69	0	6
70	0	6
71	0	1
72	1	1
73	3	4
74	0	2
75	0	1
76	0	1
77	0	1
78	0	2
79	1	3
80	1	2
81	0	2
82	1	4
83	0	1
84	0	1
85	0	1
86	0	0
87	0	3
88	0	2
90	0	2
91	1	4
92	0	2
93	2	2
94	2	3
95	1	4
96	0	2
99	0	2
100	0	4
101	0	3
103	0	3
104	0	7
105	0	1
106	0	2
107	1	2
108	0	0
109	0	4
110	1	2
112	1	1
114	0	1
115	0	1
116	1	1
117	1	1
119	0	1
120	0	1
121	1	1
122	0	1
123	0	2
124	0	4
125	0	5
126	0	2
127	0	1
128	0	0
129	0	1
130	0	1
131	0	1
132	2	3
134	0	1
135	0	1
136	0	1
137	0	3
138	0	3
139	0	2
140	0	2
141	0	1
142	1	1
143	1	1
144	0	3
146	0	1
148	1	1
149	0	1
150	1	1
151	2	1
152	0	1
153	1	1
154	2	1
155	0	3
156	0	2
157	0	6
158	1	4
159	2	3
160	0	2
161	1	2
162	0	4
163	0	4
164	0	3
165	0	4
167	0	3
168	0	3
169	1	2
172	1	2
173	0	3
174	0	2
175	0	3
176	1	2
177	0	2
178	0	3
179	1	2
180	1	2
181	1	2
182	0	3
183	0	1
185	1	4
186	1	2
187	0	1
188	0	2
189	0	3
190	1	1
191	0	2
193	0	1
194	0	1
195	0	2
196	0	1
197	1	2
198	1	2
199	0	1
200	0	0
202	0	4
203	0	3
204	0	3
205	0	2
206	1	2
207	1	2
208	0	1
209	0	2
210	2	2
211	1	2
212	0	2
213	2	4
214	1	2
215	0	2
216	0	1
217	0	2
218	0	3
219	0	1
220	0	3
221	1	1
222	0	2
223	0	2
224	0	2
226	0	0
227	1	2
228	1	0
229	0	3
230	0	4
231	0	1
232	1	1
233	0	1
234	0	2
235	0	1
236	0	2
237	0	2
238	1	1
239	0	1
240	1	1
241	0	1
242	2	1
243	0	1
244	0	1
246	0	0
247	1	1
249	1	1
250	2	2
251	0	1
252	0	1
253	0	1
254	0	0
255	0	1
256	1	1
257	1	1
258	2	3
259	3	1
260	1	1
261	0	1
263	0	1
264	4	1
265	0	4
267	0	1
268	0	1
269	0	1
270	0	1
271	0	1
272	0	1
273	0	1
274	0	2
275	0	3
277	0	1
278	0	1
279	0	2
281	0	2
282	0	3
283	1	2
284	1	2
285	0	1
286	0	1
287	0	1
289	1	1
290	1	1
291	0	1
292	2	3
293	0	1
294	0	1
297	0	1
298	0	1
299	0	1
